"","precio","lat","long","x","y","optional"
"869",3.31462,21.1263192501089,-98.9521192298736,-98.9521192298736,21.1263192501089,TRUE
"870",3.21834,20.3278269048576,-99.2615298057581,-99.2615298057581,20.3278269048576,TRUE
"871",3,20.3278269048576,-99.2615298057581,-99.2615298057581,20.3278269048576,TRUE
"872",3.065,19.9701570852705,-98.2675486164981,-98.2675486164981,19.9701570852705,TRUE
"873",3.065,19.9701570852705,-98.2675486164981,-98.2675486164981,19.9701570852705,TRUE
"874",3.31601,20.2252806451153,-98.8803653291779,-98.8803653291779,20.2252806451153,TRUE
"875",3.28779,20.2252806451153,-98.8803653291779,-98.8803653291779,20.2252806451153,TRUE
"876",4.1,20.7425498996762,-98.8665958990999,-98.8665958990999,20.7425498996762,TRUE
"877",4.1,20.7425498996762,-98.8665958990999,-98.8665958990999,20.7425498996762,TRUE
"878",4.6,20.7425498996762,-98.8665958990999,-98.8665958990999,20.7425498996762,TRUE
"879",3.96961,19.6636180354467,-98.5776039496838,-98.5776039496838,19.6636180354467,TRUE
"880",3.25,20.0375553599343,-98.6493493665784,-98.6493493665784,20.0375553599343,TRUE
"881",3.32815,20.2412962549752,-99.0683592152585,-99.0683592152585,20.2412962549752,TRUE
"882",3.3,20.2412962549752,-99.0683592152585,-99.0683592152585,20.2412962549752,TRUE
"883",4.15,20.2231549299659,-98.5552467909989,-98.5552467909989,20.2231549299659,TRUE
"884",4.3,20.2231549299659,-98.5552467909989,-98.5552467909989,20.2231549299659,TRUE
"885",4.61948,21.0390889496945,-98.23661827522,-98.23661827522,21.0390889496945,TRUE
"886",4.65,21.0390889496945,-98.23661827522,-98.23661827522,21.0390889496945,TRUE
"887",4.7,20.9941595401177,-98.4868911650298,-98.4868911650298,20.9941595401177,TRUE
"888",4.65,20.9941595401177,-98.4868911650298,-98.4868911650298,20.9941595401177,TRUE
"889",4.15,20.5318546947746,-98.0333620504805,-98.0333620504805,20.5318546947746,TRUE
"890",3,20.5318546947746,-98.0333620504805,-98.0333620504805,20.5318546947746,TRUE
"891",4.75,21.1433802900152,-98.3883787158024,-98.3883787158024,21.1433802900152,TRUE
"892",4.75,21.1433802900152,-98.3883787158024,-98.3883787158024,21.1433802900152,TRUE
"893",4.65576,21.1433802900152,-98.3883787158024,-98.3883787158024,21.1433802900152,TRUE
"894",3.83026,20.3905629752714,-99.6821642733083,-99.6821642733083,20.3905629752714,TRUE
"895",3.29182,20.3905629752714,-99.6821642733083,-99.6821642733083,20.3905629752714,TRUE
"896",3.3856,20.3905629752714,-99.6821642733083,-99.6821642733083,20.3905629752714,TRUE
"897",3.165,20.5385689797245,-99.2011159767589,-99.2011159767589,20.5385689797245,TRUE
"898",3.45,20.5385689797245,-99.2011159767589,-99.2011159767589,20.5385689797245,TRUE
"899",3.51918,20.9650349750568,-99.1522224100168,-99.1522224100168,20.9650349750568,TRUE
"900",3.39853,20.9650349750568,-99.1522224100168,-99.1522224100168,20.9650349750568,TRUE
"901",3.64017,20.9650349750568,-99.1522224100168,-99.1522224100168,20.9650349750568,TRUE
"902",3.51019,20.9650349750568,-99.1522224100168,-99.1522224100168,20.9650349750568,TRUE
"903",4.75,21.1537998498603,-98.5263179076459,-98.5263179076459,21.1537998498603,TRUE
"904",4.6,21.1537998498603,-98.5263179076459,-98.5263179076459,21.1537998498603,TRUE
"905",4.55,20.8358972949447,-98.8351247981658,-98.8351247981658,20.8358972949447,TRUE
"906",3.36664,21.0658366951828,-99.0686680080024,-99.0686680080024,21.0658366951828,TRUE
"907",4.65,21.0085078946847,-98.7313012232754,-98.7313012232754,21.0085078946847,TRUE
"908",5,21.0085078946847,-98.7313012232754,-98.7313012232754,21.0085078946847,TRUE
"909",3.07,20.2586958449017,-98.3446973428942,-98.3446973428942,20.2586958449017,TRUE
"910",3.1,20.2586958449017,-98.3446973428942,-98.3446973428942,20.2586958449017,TRUE
"911",3.2,20.5646523102058,-98.8291032549561,-98.8291032549561,20.5646523102058,TRUE
"912",3.2,20.5646523102058,-98.8291032549561,-98.8291032549561,20.5646523102058,TRUE
"913",4.3,20.5646523102058,-98.8291032549561,-98.8291032549561,20.5646523102058,TRUE
"914",3.2,20.0606998796707,-98.7297430391428,-98.7297430391428,20.0606998796707,TRUE
"915",2.96667,20.0606998796707,-98.7297430391428,-98.7297430391428,20.0606998796707,TRUE
"916",4,20.2205975150772,-98.7453530676088,-98.7453530676088,20.2205975150772,TRUE
"917",4.3,20.2205975150772,-98.7453530676088,-98.7453530676088,20.2205975150772,TRUE
"918",4.2,20.1477421948979,-98.674322280688,-98.674322280688,20.1477421948979,TRUE
"919",3.38897,20.2335030351095,-99.1561422482497,-99.1561422482497,20.2335030351095,TRUE
"920",3.35,20.2335030351095,-99.1561422482497,-99.1561422482497,20.2335030351095,TRUE
"921",4.55,20.8485198299477,-98.7626437919151,-98.7626437919151,20.8485198299477,TRUE
"922",4.3,20.8485198299477,-98.7626437919151,-98.7626437919151,20.8485198299477,TRUE
"923",3.12605,20.7946085152968,-99.1685315131636,-99.1685315131636,20.7946085152968,TRUE
"924",3.34008,20.7946085152968,-99.1685315131636,-99.1685315131636,20.7946085152968,TRUE
